biegnąć;biegnąć
cieknąć;cieknąć
dobiegnąć;biegnąć
docieknąć;cieknąć
dokradnąć;kradnąć
dolegnąć;legnąć
dopadnąć;padnąć
doprząc;prząc
doróść;róść
dosiąc;siąc
grąźć;grąźć
grząźć;grząźć
krzywoprzysiąc;krzywoprzysiąc
legnąć;legnąć
ląc;ląc
nabiegnąć;biegnąć
nacieknąć;cieknąć
nadbiegnąć;biegnąć
nakradnąć;kradnąć
nalegnąć;legnąć
napadnąć;padnąć
naróść;róść
obcieknąć;cieknąć
obiegnąć;biegnąć
oblegnąć;blegnąć
obląc;obląc
obróść;bróść
ocieknąć;cieknąć
odbiegnąć;biegnąć
odcieknąć;cieknąć
odkradnąć;kradnąć
odpadnąć;padnąć
odprząc;prząc
odróść;róść
odrzeknąć;rzeknąć
okradnąć;kradnąć
opadnąć;padnąć
orzeknąć;rzeknąć
padnąć;padnąć
pobiegnąć;biegnąć
pocieknąć;cieknąć
podbiegnąć;biegnąć
podcieknąć;cieknąć
podkradnąć;kradnąć
podlegnąć;legnąć
podpadnąć;padnąć
podróść;róść
podupadnąć;upadnąć
podżegnąć;żegnąć
pogrząźć;grząźć
pokradnąć;kradnąć
polegnąć;legnąć
popadnąć;padnąć
poprzysiąc;przysiąc
poróść;róść
przebiegnąć;biegnąć
przecieknąć;cieknąć
przekradnąć;kradnąć
przeląc;ląc
przepadnąć;padnąć
przeprząc;prząc
przeróść;róść
przerzeknąć;rzeknąć
przesiąknąć;siąknąć
przesiąc;siąc
przeżegnąć;żegnąć
prząc;prząc
przybiegnąć;biegnąć
przykradnąć;kradnąć
przylegnąć;legnąć
przypadnąć;padnąć
przyprząc;prząc
przyróść;róść
przyrzeknąć;rzeknąć
przysiąc;siąc
przyżegnąć;żegnąć
róść;róść
rozbiegnąć;biegnąć
rozcieknąć;cieknąć
rozgrząźć;grząźć
rozkradnąć;kradnąć
rozlegnąć;legnąć
rozpadnąć;padnąć
rozprząc;prząc
rozróść;róść
rozwścieknąć;wścieknąć
rozżegnąć;żegnąć
rzeknąć;rzeknąć
skradnąć;kradnąć
spadnąć;padnąć
sprząc;prząc
sprzysiąc;przysiąc
ścieknąć;cieknąć
ubiegnąć;biegnąć
ucieknąć;cieknąć
ugrąźć;grąźć
ugrząźć;grząźć
ukradnąć;kradnąć
ulegnąć;legnąć
uląc;ląc
upadnąć;padnąć
uprząc;prząc
uróść;róść
urzeknąć;rzeknąć
wbiegnąć;biegnąć
wcieknąć;cieknąć
wgrząźć;grząźć
wkradnąć;kradnąć
wpadnąć;padnąć
wprząc;prząc
wróść;róść
współubiegnąć;spółubiegnąć
wścieknąć;ścieknąć
wybiegnąć;biegnąć
wycieknąć;cieknąć
wykradnąć;kradnąć
wylegnąć;legnąć
wyląc;ląc
wypadnąć;padnąć
wyprząc;prząc
wyprzysiąc;przysiąc
wyróść;róść
wyrzeknąć;rzeknąć
wyżegnąć;żegnąć
wzbiegnąć;biegnąć
wzróść;róść
zabiegnąć;biegnąć
zacieknąć;cieknąć
zagrząźć;grząźć
zakradnąć;kradnąć
zalegnąć;legnąć
zaląc;ląc
zapadnąć;padnąć
zapobiegnąć;pobiegnąć
zaprzepadnąć;przepadnąć
zaprząc;prząc
zaprzysiąc;przysiąc
zaróść;róść
zarzeknąć;rzeknąć
zawścieknąć;wścieknąć
zażegnąć;żegnąć
zbiegnąć;biegnąć
zgrząźć;grząźć
zlegnąć;legnąć
zląc;ląc
złorzeknąć;złorzeknąć
zróść;róść
zrzeknąć;rzeknąć
zżegnąć;żegnąć
żegnąć;żegnąć
