biegnąć;biec
cieknąć;ciec
dobiegnąć;dobiec
docieknąć;dociec
dokradnąć;dokraść
dolegnąć;dolec
dopadnąć;dopaść
doprząc;doprzęgnąć
doróść;dorosnąć
dosiąc;dosięgnąć
grąźć;gręznąć
grząźć;grzęznąć
krzywoprzysiąc;krzywoprzysięgnąć
legnąć;lec
ląc;lęknąć
nabiegnąć;nabiec
nacieknąć;naciec
nadbiegnąć;nadbiec
nakradnąć;nakraść
nalegnąć;nalec
napadnąć;napaść
naróść;narosnąć
obcieknąć;obciec
obiegnąć;obiec
oblegnąć;oblec
obląc;oblęgnąć
obróść;obrosnąć
ocieknąć;ociec
odbiegnąć;odbiec
odcieknąć;odciec
odkradnąć;odkraść
odpadnąć;odpaść
odprząc;odprzęgnąć
odróść;odrosnąć
odrzeknąć;odrzec
okradnąć;okraść
opadnąć;opaść
orzeknąć;orzec
padnąć;paść
pobiegnąć;pobiec
pocieknąć;pociec
podbiegnąć;podbiec
podcieknąć;podciec
podkradnąć;podkraść
podlegnąć;podlec
podpadnąć;podpaść
podróść;podrosnąć
podupadnąć;podupaść
podżegnąć;podżec
pogrząźć;pogrzęznąć
pokradnąć;pokraść
polegnąć;polec
popadnąć;popaść
poprzysiąc;poprzysięgnąć
poróść;porosnąć
przebiegnąć;przebiec
przecieknąć;przeciec
przekradnąć;przekraść
przeląc;przelęknąć
przepadnąć;przepaść
przeprząc;przeprzęgnąć
przeróść;przerosnąć
przerzeknąć;przerzec
przesiąknąć;przesiąc
przesiąc;przesięgnąć
przeżegnąć;przeżec
prząc;przęgnąć
przybiegnąć;przybiec
przykradnąć;przykraść
przylegnąć;przylec
przypadnąć;przypaść
przyprząc;przyprzęgnąć
przyróść;przyrosnąć
przyrzeknąć;przyrzec
przysiąc;przysięgnąć
przyżegnąć;przyżec
róść;rosnąć
rozbiegnąć;rozbiec
rozcieknąć;rozciec
rozgrząźć;rozgrzęznąć
rozkradnąć;rozkraść
rozlegnąć;rozlec
rozpadnąć;rozpaść
rozprząc;rozprzęgnąć
rozróść;rozrosnąć
rozwścieknąć;rozwściec
rozżegnąć;rozżec
rzeknąć;rzec
skradnąć;skraść
spadnąć;spaść
sprząc;sprzęgnąć
sprzysiąc;sprzysięgnąć
ścieknąć;ściec
ubiegnąć;ubiec
ucieknąć;uciec
ugrąźć;ugręznąć
ugrząźć;ugrzęznąć
ukradnąć;ukraść
ulegnąć;ulec
uląc;ulęknąć
upadnąć;upaść
uprząc;uprzęgnąć
uróść;urosnąć
urzeknąć;urzec
wbiegnąć;wbiec
wcieknąć;wciec
wgrząźć;wgrzęznąć
wkradnąć;wkraść
wpadnąć;wpaść
wprząc;wprzęgnąć
wróść;wrosnąć
współubiegnąć;współubiec
wścieknąć;wściec
wybiegnąć;wybiec
wycieknąć;wyciec
wykradnąć;wykraść
wylegnąć;wylec
wyląc;wylęknąć
wypadnąć;wypaść
wyprząc;wyprzęgnąć
wyprzysiąc;wyprzysięgnąć
wyróść;wyrosnąć
wyrzeknąć;wyrzec
wyżegnąć;wyżec
wzbiegnąć;wzbiec
wzróść;wzrosnąć
zabiegnąć;zabiec
zacieknąć;zaciec
zagrząźć;zagrzęznąć
zakradnąć;zakraść
zalegnąć;zalec
zaląc;zalęknąć
zapadnąć;zapaść
zapobiegnąć;zapobiec
zaprzepadnąć;zaprzepaść
zaprząc;zaprzęgnąć
zaprzysiąc;zaprzysięgnąć
zaróść;zarosnąć
zarzeknąć;zarzec
zawścieknąć;zawściec
zażegnąć;zażec
zbiegnąć;zbiec
zgrząźć;zgrzęznąć
zlegnąć;zlec
zląc;zlęknąć
złorzeknąć;złorzec
zróść;zrosnąć
zrzeknąć;zrzec
zżegnąć;zżec
żegnąć;żec
